num,data
525,-15
526,-12
527,-9
528,1
529,22
530,0
531,5
532,3
533,11
534,-7
535,-10
536,-9
537,8
538,1
539,0
540,-12
541,-7
542,0
543,-1
544,6
545,1
546,-10
547,-2
548,-9
549,-13
550,-2
551,4
552,-2
553,1
554,0
555,8
556,-1
557,-13
558,1
559,-10
560,0
561,1
562,4
563,-6
564,3
565,0
566,-5
567,1
568,0
569,5
570,15
571,-15
572,1
573,-1
574,5
575,11
576,19
577,-1
578,0
579,-15
580,15
581,6
582,0
583,-24
584,-5
585,8
586,5
587,0
588,-3
589,-27
590,-10
591,-18
592,-12
593,8
594,-8
595,-3
596,29
597,-1
598,-7
599,10
600,1
601,-13
602,-14
603,3
604,2
605,18
606,-8
607,-17
608,-3
609,-6
610,10
611,10
612,-7
613,-16
614,0
615,-7
616,-12
617,10
618,-3
619,-5
620,0
621,15
622,-13
623,11
624,3
625,-1
626,3
627,3
628,10
629,-2
630,-3
631,8
632,5
633,3
634,-4
635,10
636,-16
637,2
638,15
639,3
640,-14
641,5
642,-9
643,10
644,-4
645,6
646,-18
647,-6
648,5
649,0
650,5
651,13
652,14
653,-17
654,6
655,1
656,6
657,4
658,-22
659,-6
660,4
661,-8
662,7
663,13
664,-29
665,-13
666,14
667,0
668,7
669,-20
670,4
671,-5
672,-11
673,0
674,-6
675,-2
676,10
677,4
678,11
679,9
680,23
681,10
682,-7
683,10
684,-7
685,18
686,9
687,10
688,-6
689,-8
690,10
691,-5
692,0
693,11
694,5
695,-8
696,11
697,-17
698,4
699,13
700,-14
701,-10
702,-5
703,1
704,9
705,-15
706,-20
707,-2
708,-11
709,9
710,-11
711,4
712,4
713,0
714,-10
715,1
716,9
717,6
718,6
719,4
720,7
721,4
722,-3
723,11
724,0
725,14
726,2
727,9
728,4
729,12
730,16
731,-8
732,-13
733,-2
734,-13
735,-8
736,1
737,-2
738,15
739,-11
740,12
741,-9
742,-32
743,10
744,17
745,2
746,0
747,-15
748,-15
749,7
750,-11
751,-9
752,1
753,-10
754,-2
755,-3
756,2
757,-3
758,5
759,0
760,-1
761,-4
762,-4
763,-1
764,7
765,-11
766,-15
767,-1
768,8
769,-13
770,4
771,-1
772,15
773,-8
774,0
775,0
776,0
777,-6
778,-6
779,-10
780,4
781,-5
782,-6
783,4
784,19
785,-10
786,-4
787,-11
788,-6
789,8
790,-4
791,-11
792,-2
793,-2
794,-4
795,13
796,-5
797,-2
798,8
799,1
800,-8
801,0
802,13
803,8
804,-11
805,2
806,16
807,-9
808,-13
809,-11
810,5
811,10
812,0
813,-9
814,0
815,-1
816,3
817,-5
818,-19
819,-20
820,-24
821,-6
822,0
823,9
824,7
825,9
826,-12
827,-8
828,-6
829,-6
830,-8
831,5
832,13
833,-2
834,-5
835,10
836,4
837,-2
838,-8
839,2
840,-27
841,3
842,-14
843,-4
844,2
845,0
846,-4
847,1
848,-4
849,2
850,-17
851,4
852,4
853,7
854,7
855,-10
856,7
857,2
858,15
859,3
860,-18
861,-2
862,0
863,-2
864,6
865,-4
866,-2
867,15
868,13
869,-7
870,4
871,-20
872,0
873,5
874,-5
875,11
876,0
877,-3
878,9
879,8
880,-3
881,-3
882,-16
883,-7
884,4
885,-15
886,10
887,-17
888,-6
889,3
890,-12
891,7
892,-10
893,-7
894,-1
895,8
896,-3
897,2
898,10
899,12
900,-5
901,3
902,-1
903,-11
904,18
905,-11
906,12
907,-5
908,-19
909,-5
910,1
911,1
912,9
913,3
914,-1
915,12
916,-2
917,5
918,-5
919,1
920,-15
921,-7
922,0
923,2
924,4
925,5
926,-21
927,-2
928,0
929,-9
930,2
931,-3
932,-10
933,10
934,-16
935,5
936,-14
937,-21
938,0
939,-11
940,-7
941,-2
942,16
943,-7
944,4
945,17
946,6
947,0
948,-19
949,13
950,-2
951,0
952,4
953,-3
954,0
955,15
956,5
957,-3
958,6
959,2
960,-1
961,12
962,-14
963,-10
964,-21
965,4
966,6
967,-15
968,-20
969,-4
970,26
971,6
972,7
973,-3
974,0
975,-11
976,10
977,19
978,-4
979,11
980,-13
981,0
982,-5
983,0
984,5
985,-7
986,9
987,0
988,3
989,-4
990,11
991,14
992,10
993,-8
994,24
995,8
996,1
997,-19
998,15
